subject,seed,arm,session_block_order,accuracy,balanced_accuracy,f1,roc_auc,n_windows,n_true_positive_class,n_predicted_positive,confusion_matrix
sub-58,1,tent_literal,metadata_order,0.4925373134328358,0.49641577060931896,0.5,0.4997759856630824,134,62,74,"[[32, 40], [28, 34]]"
sub-59,1,tent_literal,metadata_order,0.48484848484848486,0.4888016624336181,0.4925373134328358,0.46525051951050567,132,61,73,"[[31, 40], [28, 33]]"
sub-60,1,tent_literal,metadata_order,0.5118110236220472,0.5120646766169155,0.5230769230769231,0.5116915422885572,127,67,63,"[[31, 29], [33, 34]]"
sub-61,1,tent_literal,metadata_order,0.5202702702702703,0.5202702702702703,0.5034965034965035,0.5284879474068663,148,74,69,"[[41, 33], [38, 36]]"
sub-62,1,tent_literal,metadata_order,0.48905109489051096,0.48836961160904824,0.4696969696969697,0.507255655142979,137,66,66,"[[36, 35], [35, 31]]"
sub-63,1,tent_literal,metadata_order,0.45714285714285713,0.45798405234103456,0.45714285714285713,0.47924759762829683,140,73,67,"[[32, 35], [41, 32]]"
sub-64,1,tent_literal,metadata_order,0.43884892086330934,0.4392339544513458,0.4090909090909091,0.4788819875776397,139,70,62,"[[34, 35], [43, 27]]"
sub-65,1,tent_literal,metadata_order,0.4806201550387597,0.47960687960687964,0.4369747899159664,0.5171990171990172,129,55,64,"[[36, 38], [29, 26]]"
sub-66,1,tent_literal,metadata_order,0.5671641791044776,0.567670011148272,0.5671641791044776,0.5520624303232998,134,69,65,"[[38, 27], [31, 38]]"
sub-67,1,tent_literal,metadata_order,0.5273972602739726,0.5260885885885886,0.4732824427480916,0.5533033033033034,146,72,59,"[[46, 28], [41, 31]]"
sub-68,1,tent_literal,metadata_order,0.541095890410959,0.5410958904109588,0.5379310344827586,0.5314317883280165,146,73,72,"[[40, 33], [34, 39]]"
sub-69,1,tent_literal,metadata_order,0.4825174825174825,0.4802348336594912,0.4126984126984127,0.45440313111545994,143,70,56,"[[43, 30], [44, 26]]"
sub-70,1,tent_literal,metadata_order,0.4748201438848921,0.4748447204968944,0.4748201438848921,0.5204968944099378,139,69,70,"[[33, 37], [36, 33]]"
sub-71,1,tent_literal,metadata_order,0.5352112676056338,0.5343253968253968,0.5657894736842105,0.5095238095238096,142,72,80,"[[33, 37], [29, 43]]"
sub-01,2,tent_literal,metadata_order,0.5040650406504065,0.5056360708534622,0.47863247863247865,0.5155662909286097,123,54,63,"[[34, 35], [26, 28]]"
sub-02,2,tent_literal,metadata_order,0.5223880597014925,0.5214285714285714,0.5,0.5267857142857143,134,64,64,"[[38, 32], [32, 32]]"
sub-03,2,tent_literal,metadata_order,0.44755244755244755,0.44774951076320935,0.44755244755244755,0.45029354207436395,143,70,73,"[[32, 41], [38, 32]]"
sub-04,2,tent_literal,metadata_order,0.42424242424242425,0.5766129032258065,0.5681818181818182,0.5080645161290323,66,62,26,"[[3, 1], [37, 25]]"
sub-05,2,tent_literal,metadata_order,0.49242424242424243,0.49150401836969004,0.524822695035461,0.5097588978185994,132,67,74,"[[28, 37], [30, 37]]"
sub-06,2,tent_literal,metadata_order,0.4855072463768116,0.484375,0.4580152671755725,0.46072635135135137,138,64,67,"[[37, 37], [34, 30]]"
sub-07,2,tent_literal,metadata_order,0.5038167938931297,0.5051353874883286,0.49612403100775193,0.5133053221288515,131,68,61,"[[34, 29], [36, 32]]"
sub-08,2,tent_literal,metadata_order,0.47244094488188976,0.47270471464019853,0.47244094488188976,0.4660049627791563,127,62,65,"[[30, 35], [32, 30]]"
sub-09,2,tent_literal,metadata_order,0.49606299212598426,0.4936281859070465,0.4576271186440678,0.4625187406296852,127,58,60,"[[36, 33], [31, 27]]"
sub-10,2,tent_literal,metadata_order,0.4785714285714286,0.47713819146764647,0.5290322580645161,0.47479077362727085,140,71,84,"[[26, 43], [30, 41]]"
sub-11,2,tent_literal,metadata_order,0.5230769230769231,0.5239109848484849,0.5,0.5068655303030303,130,66,58,"[[37, 27], [35, 31]]"
sub-12,2,tent_literal,metadata_order,0.4878048780487805,0.4880382775119617,0.5039370078740157,0.5015948963317385,123,66,61,"[[28, 29], [34, 32]]"
sub-13,2,tent_literal,metadata_order,0.5390070921985816,0.5401570048309179,0.5578231292517006,0.5243558776167472,141,69,78,"[[35, 37], [28, 41]]"
sub-14,2,tent_literal,metadata_order,0.5460992907801419,0.5458752515090544,0.5294117647058824,0.5420523138832998,141,70,66,"[[41, 30], [34, 36]]"
sub-15,2,tent_literal,metadata_order,0.4657534246575342,0.4657534246575342,0.4935064935064935,0.46894351660724337,146,73,81,"[[30, 43], [35, 38]]"
sub-16,2,tent_literal,metadata_order,0.496551724137931,0.496765601217656,0.48226950354609927,0.46118721461187207,145,73,68,"[[38, 34], [39, 34]]"
sub-17,2,tent_literal,metadata_order,0.4520547945205479,0.4520547945205479,0.4594594594594595,0.4606868080315257,146,73,75,"[[32, 41], [39, 34]]"
